id,time,lat,long,contact_list
80.215.32.162,"03/30/2020, 04:15:37",48.854301452636996,2.3526999950409,"['80.215.71.121', '92.169.110.11', '80.215.91.123', '92.184.117.132', '92.184.117.132', '92.184.117.132', '92.184.98.101', '92.184.98.101', '80.215.241.255', '80.215.200.117', '86.247.59.124', '92.184.117.75', '92.184.117.75', '92.184.117.75', '92.184.117.75', '92.184.117.75', '92.184.117.75', '87.88.186.98', '90.90.127.7', '80.215.224.128', '80.214.21.220', '80.214.21.220', '80.215.104.140', '80.215.46.142']"
176.187.25.0,"03/30/2020, 04:15:37",48.705,2.343,[]
2.6.137.0,"03/30/2020, 04:15:37",43.523,1.4069999999999998,[]
